date,open,high,low,close,volume,sma_short,sma_long,ema,rsi,bband
2023-11-10,183.97,186.565,183.53,186.4,66177922.0,177.1275,175.3816,175.3816,55.4544,55.4544
2023-11-13,185.82,186.03,184.21,184.8,43627519.0,178.5933,175.622,175.622,54.4636,54.4636
2023-11-14,187.7,188.11,186.3,187.44,60108378.0,180.274,175.9914,175.9914,55.7934,55.7934
2023-11-15,187.845,189.5,187.78,188.01,53790499.0,181.6934,176.3274,176.3274,56.076,56.076
2023-11-16,189.57,190.96,188.65,189.71,54412915.0,182.9242,176.6949,176.6949,56.9143,56.9143
2023-11-17,190.25,190.38,188.57,189.69,50941404.0,184.2445,177.1355,177.1355,56.9012,56.9012
2023-11-20,189.89,191.905,189.88,191.45,46538614.0,185.4835,177.6514,177.6514,57.7698,57.7698
2023-11-21,191.41,191.52,189.74,190.64,38134485.0,186.3844,178.1974,178.1974,57.2282,57.2282
2023-11-22,191.49,192.93,190.825,191.31,39630011.0,187.2457,178.8222,178.8222,57.564,57.564
2023-11-24,190.87,190.9,189.25,189.97,24048344.0,188.0214,179.4087,179.4087,56.6562,56.6562
2023-11-27,189.92,190.67,188.9,189.79,40552609.0,188.3587,180.0907,180.0907,56.534,56.534
2023-11-28,189.78,191.08,189.4,190.4,38415419.0,188.916,180.7922,180.7922,56.8558,56.8558
2023-11-29,190.9,192.09,188.97,189.37,43014224.0,189.1081,181.4351,181.4351,56.1396,56.1396
2023-11-30,189.84,190.32,188.19,189.95,48794366.0,189.3011,182.1942,182.1942,56.4548,56.4548
2023-12-01,190.33,191.56,189.23,191.24,45704823.0,189.4534,183.172,183.172,57.1535,57.1535
2023-12-04,189.98,190.05,187.4511,189.43,43389519.0,189.4275,184.0249,184.0249,55.87,55.87
2023-12-05,190.21,194.4,190.18,193.42,66628398.0,189.6235,184.9543,184.9543,57.9921,57.9921
2023-12-06,194.45,194.76,192.11,192.32,40895115.0,189.7907,185.8208,185.8208,57.2181,57.2181
2023-12-07,193.63,195.0,193.59,194.27,47477655.0,190.0853,186.6378,186.6378,58.2266,58.2266
2023-12-08,194.2,195.99,193.67,195.71,53406358.0,190.6565,187.3689,187.3689,58.9557,58.9557
2023-12-11,193.11,193.49,191.42,193.18,60943699.0,190.9938,188.036,188.036,57.1669,57.1669
2023-12-12,193.08,194.72,191.721,194.71,52696900.0,191.4227,188.6613,188.6613,57.9541,57.9541
2023-12-13,195.09,198.0,194.85,197.96,70404183.0,192.2775,189.3131,189.3131,59.565,59.565
2023-12-14,198.02,199.62,196.16,198.11,66831572.0,193.0896,189.9283,189.9283,59.6378,59.6378
2023-12-15,197.53,198.3999,197.0,197.57,128538401.0,193.7195,190.541,190.541,59.2458,59.2458
2023-12-18,196.09,196.63,194.39,195.89,55751861.0,194.3623,190.9188,190.9188,58.0349,58.0349
2023-12-19,196.16,196.95,195.89,196.94,40233138.0,194.7126,191.402,191.402,58.5749,58.5749
2023-12-20,196.9,197.68,194.83,194.83,52242815.0,194.9624,191.6962,191.6962,57.0691,57.0691
2023-12-21,196.1,197.08,193.5,194.68,46482549.0,195.0032,191.9617,191.9617,56.9629,56.9629
2023-12-22,195.18,195.41,192.97,193.6,37149570.0,194.7932,192.1165,192.1165,56.1944,56.1944
2023-12-26,193.61,193.89,192.83,193.05,28919310.0,194.7803,192.2503,192.2503,55.8032,55.8032
2023-12-27,192.49,193.5,191.09,193.15,47899806.0,194.6251,192.3179,192.3179,55.8602,55.8602
2023-12-28,194.14,194.66,193.17,193.58,34049898.0,194.1892,192.435,192.435,56.1086,56.1086
2023-12-29,193.9,194.4,191.725,192.53,42672148.0,193.6339,192.4835,192.4835,55.3327,55.3327
